collectioncode,BumbleBeeSpecies,Abundance,Sex,FlowerGenus,Flowerspecies,Flowerfamily,FlowerFieldName,Gyne(included already in female count),IDconfidence,PhotoFileID,Notes,Entered in BBW,PrevioslyMarked2,PrevioslyMarked3,,,,,,,,,,,,,
2020ExampleAugust19,impatiens,1,male,Verbesina,alternifolia,,,,100,,,,,,,,,,,,,,,,,,
2022RitterAugust9,affinis,5,female,Monarda ,fistulosa,Lamiaceae,mon fis,,,,,x,,,,,,,,,,,,,,,
2022SpringLakeAugust25,affinis,1,male,Solidago,canadensis,,,,,,,x,,,,,,,,,,,,,,,
2022SpringLakeAugust9,affinis,1,female,Pycnathemum,virginianum,Lamiaceae,pyc vir,,,,,x,,,,,,,,,,,,,,,
2022SpringLakeSeptember12,affinis,3,male,Solidago,speciosa,Asteraceae,,,,,,x,,,,,,,,,,,,,,,
2022RitterAugust9,auricomus,9,female,Monarda ,fistulosa,Lamiaceae,mon fis,,,,,,,,,,,,,,,,,,,,
2022RitterAugust9,auricomus,1,male,Vernonia,fasciculata,Asteraceae,iron weed,,,,,,,,,,,,,,,,,,,,
2022RitterAugust9,auricomus,1,female,Veronicastrum,virginicum,Fabaceae,culvers root,,,,,,,,,,,,,,,,,,,,
2022SpringLakeAugust25,auricomus,1,female,Solidago,rigida,,,,,,,x,,,,,,,,,,,,,,,
2022SpringLakeAugust25,auricomus,3,female,Gentiana,alba,,,,,,,x,,,,,,,,,,,,,,,
2022SpringLakeAugust25,auricomus,1,female,Liatris,aspera,,,,,,,x,,,,,,,,,,,,,,,
2022SpringLakeAugust9,auricomus,22,female,Monarda ,fistulosa,Lamiaceae,mon fis,,,,,x,,,,,,,,,,,,,,,
2022SpringLakeAugust9,auricomus,1,female,Ratibida,pinnata,Asteraceae,rat pin,,,,,x,,,,,,,,,,,,,,,
2022SpringLakeAugust9,auricomus,1,female,Veronicastrum,virginicum,Fabaceae,culvers root,,,,,x,,,,,,,,,,,,,,,
2022SpringLakeJuly7,auricomus,1,female,Baptisia,lactea,Fabaceae,white wild indigo,,,,,,,,,,,,,,,,,,,,
2022SpringLakeJuly7,auricomus,1,female,Dalea,purpurea,Fabaceae,purple prairie clover,,,,,,,,,,,,,,,,,,,,
2022SpringLakeJuly7,auricomus/pensylvanicus,2,female,Baptisia,purpurea,Fabaceae,white wild indigo,,,,"not captured, just seen while walking. No volunteers showed up at this event, all observations by UMN, Xerces, GRG",,,,,,,,,,,,,,,,
