dummy,collectioncode,LocationCode,year,Date,timestart,timeend,Number.volunteers,total.minutes,effort,Temp,WindMaxmph,BumbleBeeIDer,EstCloudCover,BumbleBeeSpecies,Abundance,Sex,FlowerGenus,Flowerspecies,Flowerfamily,FlowerFieldName
2,2022RitterJuly7,Ritter,2022,7/7/2022,10:30,12:00,22,90,1980,82,10,Elaine Evans and Sarah Foltz-Jordan,overcast,bimaculatus,14,female,Sorbaria,sorbifolia,Rosaceae,false spirea
3,2022RitterJuly7,Ritter,2022,7/7/2022,10:30,12:00,22,90,1980,82,10,Elaine Evans and Sarah Foltz-Jordan,overcast,impatiens,6,female,Sorbaria,sorbifolia,Rosaceae,false spirea
4,2022RitterJuly7,Ritter,2022,7/7/2022,10:30,12:00,22,90,1980,82,10,Elaine Evans and Sarah Foltz-Jordan,overcast,pensylvanicus,2,female,Sorbaria,sorbifolia,Rosaceae,false spirea
5,2022SpringLakeJuly7,SpringLake,2022,7/7/2022,13:00,14:00,4,90,360,85,10,Elaine Evans and Sarah Foltz-Jordan,clear,auricomus,1,female,Baptisia,lactea,Fabaceae,white wild indigo
6,2022SpringLakeJuly7,SpringLake,2022,7/7/2022,13:00,14:00,4,90,360,85,10,Elaine Evans and Sarah Foltz-Jordan,clear,auricomus,1,female,Dalea,purpurea,Fabaceae,purple prairie clover
7,2022SpringLakeJuly7,SpringLake,2022,7/7/2022,13:00,14:00,4,90,360,85,10,Elaine Evans and Sarah Foltz-Jordan,clear,auricomus/pensylvanicus,2,female,Baptisia,purpurea,Fabaceae,white wild indigo
8,2022RitterAugust9,Ritter,2022,8/9/2022,13:30,14:30,12,90,1080,80,5,Elaine Evans and Sarah Foltz-Jordan,clear,affinis,5,female,Monarda ,fistulosa,Lamiaceae,mon fis
9,2022RitterAugust9,Ritter,2022,8/9/2022,13:30,14:30,12,90,1080,80,5,Elaine Evans and Sarah Foltz-Jordan,clear,auricomus,9,female,Monarda ,fistulosa,Lamiaceae,mon fis
10,2022RitterAugust9,Ritter,2022,8/9/2022,13:30,14:30,12,90,1080,80,5,Elaine Evans and Sarah Foltz-Jordan,clear,auricomus,1,male,Vernonia,fasciculata,Asteraceae,iron weed
11,2022RitterAugust9,Ritter,2022,8/9/2022,13:30,14:30,12,90,1080,80,5,Elaine Evans and Sarah Foltz-Jordan,clear,auricomus,1,female,Veronicastrum,virginicum,Fabaceae,culvers root
12,2022RitterAugust9,Ritter,2022,8/9/2022,13:30,14:30,12,90,1080,80,5,Elaine Evans and Sarah Foltz-Jordan,clear,bimaculatus,1,female,Echinacea,purpurea,Asteraceae,echnacea
13,2022RitterAugust9,Ritter,2022,8/9/2022,13:30,14:30,12,90,1080,80,5,Elaine Evans and Sarah Foltz-Jordan,clear,bimaculatus,1,female,Ratibida,pinnata,Asteraceae,rat pin
14,2022RitterAugust9,Ritter,2022,8/9/2022,13:30,14:30,12,90,1080,80,5,Elaine Evans and Sarah Foltz-Jordan,clear,bimaculatus,2,female,Monarda ,fistulosa,Lamiaceae,mon fis
15,2022RitterAugust9,Ritter,2022,8/9/2022,13:30,14:30,12,90,1080,80,5,Elaine Evans and Sarah Foltz-Jordan,clear,bimaculatus,6,male,Monarda ,fistulosa,Lamiaceae,mon fis
16,2022RitterAugust9,Ritter,2022,8/9/2022,13:30,14:30,12,90,1080,80,5,Elaine Evans and Sarah Foltz-Jordan,clear,griseocollis,1,female,Echinacea,purpurea,Asteraceae,echnacea
17,2022RitterAugust9,Ritter,2022,8/9/2022,13:30,14:30,12,90,1080,80,5,Elaine Evans and Sarah Foltz-Jordan,clear,griseocollis,4,male,Echinacea,purpurea,Asteraceae,echnacea
18,2022RitterAugust9,Ritter,2022,8/9/2022,13:30,14:30,12,90,1080,80,5,Elaine Evans and Sarah Foltz-Jordan,clear,griseocollis,4,male,Ratibida,pinnata,Asteraceae,rat pin
19,2022RitterAugust9,Ritter,2022,8/9/2022,13:30,14:30,12,90,1080,80,5,Elaine Evans and Sarah Foltz-Jordan,clear,griseocollis,16,male,Monarda ,fistulosa,Lamiaceae,mon fis
20,2022RitterAugust9,Ritter,2022,8/9/2022,13:30,14:30,12,90,1080,80,5,Elaine Evans and Sarah Foltz-Jordan,clear,griseocollis,1,male,Agastache,foeniculum,Lamiaceae,anise hyss
21,2022RitterAugust9,Ritter,2022,8/9/2022,13:30,14:30,12,90,1080,80,5,Elaine Evans and Sarah Foltz-Jordan,clear,griseocollis,1,male,Eutrochium,maculatum,Asteraceae,joe pye
22,2022RitterAugust9,Ritter,2022,8/9/2022,13:30,14:30,12,90,1080,80,5,Elaine Evans and Sarah Foltz-Jordan,clear,griseocollis,1,female,Pycnathemum,virginianum,Lamiaceae,mt mint
23,2022RitterAugust9,Ritter,2022,8/9/2022,13:30,14:30,12,90,1080,80,5,Elaine Evans and Sarah Foltz-Jordan,clear,impatiens,22,female,Pycnathemum,virginianum,Lamiaceae,mt mint
24,2022RitterAugust9,Ritter,2022,8/9/2022,13:30,14:30,12,90,1080,80,5,Elaine Evans and Sarah Foltz-Jordan,clear,impatiens,5,female,Echinacea,purpurea,Asteraceae,echnacea
25,2022RitterAugust9,Ritter,2022,8/9/2022,13:30,14:30,12,90,1080,80,5,Elaine Evans and Sarah Foltz-Jordan,clear,impatiens,8,female,Veronicastrum,virginicum,Fabaceae,culvers root
26,2022RitterAugust9,Ritter,2022,8/9/2022,13:30,14:30,12,90,1080,80,5,Elaine Evans and Sarah Foltz-Jordan,clear,impatiens,2,male,Veronicastrum,virginicum,Fabaceae,culvers root
27,2022RitterAugust9,Ritter,2022,8/9/2022,13:30,14:30,12,90,1080,80,5,Elaine Evans and Sarah Foltz-Jordan,clear,impatiens,9,female,Monarda ,fistulosa,Lamiaceae,mon fis
28,2022RitterAugust9,Ritter,2022,8/9/2022,13:30,14:30,12,90,1080,80,5,Elaine Evans and Sarah Foltz-Jordan,clear,impatiens,1,female,Cirsium,vulgare,Asteraceae,bull thistle
29,2022RitterAugust9,Ritter,2022,8/9/2022,13:30,14:30,12,90,1080,80,5,Elaine Evans and Sarah Foltz-Jordan,clear,impatiens,2,female,Ratibida,pinnata,Asteraceae,rat pin
30,2022RitterAugust9,Ritter,2022,8/9/2022,13:30,14:30,12,90,1080,80,5,Elaine Evans and Sarah Foltz-Jordan,clear,impatiens,2,female,Verbena,stricta,,
31,2022RitterAugust9,Ritter,2022,8/9/2022,13:30,14:30,12,90,1080,80,5,Elaine Evans and Sarah Foltz-Jordan,clear,impatiens,1,female,NA,NA,,
32,2022RitterAugust9,Ritter,2022,8/9/2022,13:30,14:30,12,90,1080,80,5,Elaine Evans and Sarah Foltz-Jordan,clear,impatiens,1,female,Eutrochium,maculatum,Asteraceae,joe pye
33,2022RitterAugust9,Ritter,2022,8/9/2022,13:30,14:30,12,90,1080,80,5,Elaine Evans and Sarah Foltz-Jordan,clear,pensylvanicus,1,female,Monarda ,fistulosa,Lamiaceae,mon fis
34,2022RitterAugust9,Ritter,2022,8/9/2022,13:30,14:30,12,90,1080,80,5,Elaine Evans and Sarah Foltz-Jordan,clear,rufocinctus,1,female,Ratibida,pinnata,Asteraceae,rat pin
35,2022RitterAugust9,Ritter,2022,8/9/2022,13:30,14:30,12,90,1080,80,5,Elaine Evans and Sarah Foltz-Jordan,clear,vagans,9,female,Monarda ,fistulosa,Lamiaceae,mon fis
36,2022RitterAugust9,Ritter,2022,8/9/2022,13:30,14:30,12,90,1080,80,5,Elaine Evans and Sarah Foltz-Jordan,clear,vagans,2,female,Echinacea,purpurea,Asteraceae,echnacea
37,2022RitterAugust9,Ritter,2022,8/9/2022,13:30,14:30,12,90,1080,80,5,Elaine Evans and Sarah Foltz-Jordan,clear,vagans,1,female,Veronicastrum,virginicum,Fabaceae,culvers root
38,2022RitterAugust9,Ritter,2022,8/9/2022,13:30,14:30,12,90,1080,80,5,Elaine Evans and Sarah Foltz-Jordan,clear,vagans,1,female,Allium,cernuum,Liliaceae,knodding wild onion
39,2022RitterAugust9,Ritter,2022,8/9/2022,13:30,14:30,12,90,1080,80,5,Elaine Evans and Sarah Foltz-Jordan,clear,vagans,1,female,Ratibida,pinnata,Asteraceae,rat pin
40,2022SpringLakeAugust9,SpringLake,2022,8/9/2022,10:30,12:45,8,140,1120,80,5,Elaine Evans and Sarah Foltz-Jordan,clear,affinis,1,female,Pycnathemum,virginianum,Lamiaceae,pyc vir
41,2022SpringLakeAugust9,SpringLake,2022,8/9/2022,10:30,12:45,8,140,1120,80,5,Elaine Evans and Sarah Foltz-Jordan,clear,auricomus,22,female,Monarda ,fistulosa,Lamiaceae,mon fis
42,2022SpringLakeAugust9,SpringLake,2022,8/9/2022,10:30,12:45,8,140,1120,80,5,Elaine Evans and Sarah Foltz-Jordan,clear,auricomus,1,female,Ratibida,pinnata,Asteraceae,rat pin
43,2022SpringLakeAugust9,SpringLake,2022,8/9/2022,10:30,12:45,8,140,1120,80,5,Elaine Evans and Sarah Foltz-Jordan,clear,auricomus,1,female,Veronicastrum,virginicum,Fabaceae,culvers root
44,2022SpringLakeAugust9,SpringLake,2022,8/9/2022,10:30,12:45,8,140,1120,80,5,Elaine Evans and Sarah Foltz-Jordan,clear,bimaculatus,2,female,Monarda ,fistulosa,Lamiaceae,mon fis
45,2022SpringLakeAugust9,SpringLake,2022,8/9/2022,10:30,12:45,8,140,1120,80,5,Elaine Evans and Sarah Foltz-Jordan,clear,bimaculatus,1,male,Pycnathemum,virginianum,Lamiaceae,pyc vir
46,2022SpringLakeAugust9,SpringLake,2022,8/9/2022,10:30,12:45,8,140,1120,80,5,Elaine Evans and Sarah Foltz-Jordan,clear,bimaculatus,2,female,Veronicastrum,virginicum,Fabaceae,culvers root
47,2022SpringLakeAugust9,SpringLake,2022,8/9/2022,10:30,12:45,8,140,1120,80,5,Elaine Evans and Sarah Foltz-Jordan,clear,griseocollis,3,male,Ratibida,pinnata,Asteraceae,rat pin
48,2022SpringLakeAugust9,SpringLake,2022,8/9/2022,10:30,12:45,8,140,1120,80,5,Elaine Evans and Sarah Foltz-Jordan,clear,griseocollis,1,female,Pycnathemum,virginianum,Lamiaceae,pyc vir
49,2022SpringLakeAugust9,SpringLake,2022,8/9/2022,10:30,12:45,8,140,1120,80,5,Elaine Evans and Sarah Foltz-Jordan,clear,griseocollis,1,female,Pycnathemum,verticillatum,Lamiaceae,hairy mt mint
50,2022SpringLakeAugust9,SpringLake,2022,8/9/2022,10:30,12:45,8,140,1120,80,5,Elaine Evans and Sarah Foltz-Jordan,clear,griseocollis,1,female,Veronicastrum,virginicum,Fabaceae,culvers root
51,2022SpringLakeAugust9,SpringLake,2022,8/9/2022,10:30,12:45,8,140,1120,80,5,Elaine Evans and Sarah Foltz-Jordan,clear,impatiens,6,female,Veronicastrum,virginicum,Fabaceae,culvers root
52,2022SpringLakeAugust9,SpringLake,2022,8/9/2022,10:30,12:45,8,140,1120,80,5,Elaine Evans and Sarah Foltz-Jordan,clear,impatiens,2,male,Veronicastrum,virginicum,Fabaceae,culvers root
53,2022SpringLakeAugust9,SpringLake,2022,8/9/2022,10:30,12:45,8,140,1120,80,5,Elaine Evans and Sarah Foltz-Jordan,clear,impatiens,1,female,Desmodium,canadense,Fabaceae,tick trefoil
54,2022SpringLakeAugust9,SpringLake,2022,8/9/2022,10:30,12:45,8,140,1120,80,5,Elaine Evans and Sarah Foltz-Jordan,clear,impatiens,1,male,Ratibida,pinnata,Asteraceae,rat pin
55,2022SpringLakeAugust9,SpringLake,2022,8/9/2022,10:30,12:45,8,140,1120,80,5,Elaine Evans and Sarah Foltz-Jordan,clear,impatiens,1,female,Monarda ,fistulosa,Lamiaceae,mon fis
56,2022SpringLakeAugust9,SpringLake,2022,8/9/2022,10:30,12:45,8,140,1120,80,5,Elaine Evans and Sarah Foltz-Jordan,clear,rufocinctus,1,male,Patrolling,NA,,
57,2022SpringLakeAugust9,SpringLake,2022,8/9/2022,10:30,12:45,8,140,1120,80,5,Elaine Evans and Sarah Foltz-Jordan,clear,vagans,1,female,Monarda ,fistulosa,Lamiaceae,mon fis
58,2022RitterAugust25,Ritter,2022,8/25/2022,10:15,11:45,35,90,3150,64,5,Willow Lovecky and Chan Dolan,overcast,bimaculatus,1,female,Eutrochium,maculatum,,
59,2022RitterAugust25,Ritter,2022,8/25/2022,10:15,11:45,35,90,3150,64,5,Willow Lovecky and Chan Dolan,overcast,impatiens,27,female,Impatiens,capensis,,
