collectioncode,BumbleBeeSpecies,Abundance,Sex,FlowerGenus,Flowerspecies,Flowerfamily,FlowerFieldName,Gyne(included already in female count),IDconfidence,PhotoFileID,Notes,Entered in BBW,PrevioslyMarked2,PrevioslyMarked3
2020ExampleAugust19,impatiens,1,male,Verbesina,alternifolia,,,,100,,,,,
2023RitterJuly7,impatiens,18,female,Sorbaria ,sorbifolia,,,,,,,,,
2023RitterJuly7,impatiens,5,female,Cirsium,arvense,,,,,,,,,
2023RitterJuly7,impatiens,1,male,Cirsium,arvense,,,,,,,,,
2023RitterJuly7,bimaculatus,8,female,Sorbaria ,sorbifolia,,,,,,,,,
2023RitterJuly7,bimaculatus,1,female,Pycnanthemum,virginianum,,Mt mint,,,,,,,
2023RitterJuly7,bimaculatus,1,female,Agastache,foeniculum,,,,,,,,,
2023RitterJuly7,bimaculatus,5,female,Cirsium,arvense,,,,,,,,,
2023RitterJuly7,bimaculatus,5,male,Sorbaria ,sorbifolia,,,,,,,,,
2023RitterJuly7,bimaculatus,3,male,Monarda,fistulosa,Lamiaceae,Mon fis,,,,,,,
2023RitterJuly7,bimaculatus,2,male,Nepeta,sp. ,,catmint,,,,,,,
2023RitterJuly7,bimaculatus,1,male,Agastache,foeniculum,,,,,,,,,
2023RitterJuly7,bimaculatus,4,male,Cirsium,arvense,,,,,,,,,
2023RitterJuly7,griseocollis,1,female,Sorbaria ,sorbifolia,,,,,,,,,
2023RitterJuly7,griseocollis,1,female,Cirsium,arvense,,,,,,,,,
2023RitterJuly7,griseocollis,1,male,Cirsium,arvense,,,,,,,,,
2023RitterJuly7,auricomus,1,female,Sorbaria,sorbifolia,,,,,,,,,
2023RitterJuly7,vagans,1,female,Nepeta,sp. ,,catmint,,,,,,,
2023RitterJuly7,vagans,1,female,Echinacea,purpurea,,,,,,,,,
2023RitterJuly7,vagans,1,female,Cirsium,arvense,,,,,,,,,
2023RitterJuly7,rufocinctus,2,female,Sorbaria,sorbifolia,,,,,,,,,
2023RitterJuly7,rufocinctus,1,female,Trifolium,repens,,,,,,,,,
2023RitterJuly7,rufocinctus,1,female,Echinacea,purpurea,,,,,,,,,
2023SpringLakeJuly7,bimaculatus,6,female,Monarda,fistulosa,,Mon fist,,,,,,,
2023SpringLakeJuly7,bimaculatus,6,female,Desmodium,canadense,,Desmodium,,,,,,,
2023SpringLakeJuly7,bimaculatus,2,female,Dalea,candida, ,,,,,,,,
2023SpringLakeJuly7,bimaculatus,2,male,Monarda,fistulosa,,,,,,,,,
2023SpringLakeJuly7,griseocollis,2,female,Monarda,fistulosa,,,,,,,,,
2023SpringLakeJuly7,griseocollis,9,female,Desmodium,canadense,,,,,,,,,
2023SpringLakeJuly7,griseocollis,3,female,Dalea,purpurea,,,,,,,,,
2023SpringLakeJuly7,griseocollis,2,female,Dalea,candida,,,,,,,,,
2023SpringLakeJuly7,griseocollis,1,female,Vicia,villosa,,,,,,,,,
2023SpringLakeJuly7,griseocollis,4,male,Monarda,fistulosa,,,,,,,,,
2023SpringLakeJuly7,griseocollis,1,male,Dalea,purpurea,,,,,,,,,
2023SpringLakeJuly7,auricomus,45,female,Monarda,fistulosa,,,,,,,,,
2023SpringLakeJuly7,auricomus,12,female,Desmoidum,canadense,,,,,,,,,
2023SpringLakeJuly7,auricomus,4,female,Baptisa,alba,,Baptisa white,,,,,,,
2023SpringLakeJuly7,auricomus,3,female,Dalea,purpurea,,,,,,,,,
2023SpringLakeJuly7,auricomus,3,female,Dalea,candida,,,,,,,,,
2023SpringLakeJuly7,auricomus,1,female,Vicia,villosa,,,,,,,,,
2023SpringLakeJuly7,auricomus,1,female,Veronicastrum,virginicum,,culver's root,,,,,,,
2023SpringLakeJuly7,vagans,1,male,Monarda,fistulosa,,,,,,,,,
2023SpringLakeJuly7,vagans,1,male,Veronicastrum,virginicum,,,,,,,,,
2023SpringLakeJuly7,vagans,1,male,Dalea,purpurea,,,,,,,,,
2023SpringLakeJuly7,rufocinctus,1,female,Pycnanthemum,virginianum,,,,,,,,,
2023RitterAugust4,impatiens,67,female,Pycnanthemum,virginianum,,Mt mint,,,,,,,
2023RitterAugust4,impatiens,13,female,Monarda,fistulosa,,Mon fist,,,,,,,
2023RitterAugust4,impatiens,7,female,Veronicastrum,virginicum,,Culver's root,,,,,,,
2023RitterAugust4,impatiens,3,female,Echinacea,purpurea,,Ech pur,,,,,,,
2023RitterAugust4,impatiens,1,female,Eryngium,yuccifolium,,rattlesnake master,,,,,,,
2023RitterAugust4,impatiens,1,female,Ratibida,pinnata,,Rat pin,,,,,,,
2023RitterAugust4,impatiens,2,female,Verbena,stricta,,Ver stri,,,,,,,
2023RitterAugust4,impatiens,1,male,Monarda ,fistulosa,,,,,,,,,
2023RitterAugust4,impatiens,1,male,Ratibida ,pinnata,,,,,,,,,
2023RitterAugust4,impatiens,1,male,Verbena,stricta,,,,,,,,,
2023RitterAugust4,bimaculatus,4,female,Monarda,fistulosa,,,,,,,,,
2023RitterAugust4,bimaculatus,2,male,Monarda,fistulosa,,,,,,,,,
2023RitterAugust4,griseocollis,8,male,Echinacea ,purpurea,,,,,,,,,
2023RitterAugust4,griseocollis,2,male,Pycnanthemum,virginianum,,,,,,,,,
2023RitterAugust4,griseocollis,18,male,Monarda,fistulosa,,,,,,,,,
2023RitterAugust4,griseocollis,5,male,Ratibida,pinnata,,,,,,,,,
2023RitterAugust4,griseocollis,2,female,Monarda,fistulosa,,,,,,,,,
2023RitterAugust4,auricomus,1,female,Ratibida,pinnata,,,,,,,,,
2023RitterAugust4,auricomus,22,female,Monarda,fistulosa,,,,,,,,,
2023RitterAugust4,auricomus,2,female,Pycnanthemum,virginianum,,,,,,,,,
2023RitterAugust4,auricomus,1,female,Echinacea,purpurea,,,,,,,,,
2023RitterAugust4,vagans,9,female,Monarda,fistulosa,,,,,,,,,
2023RitterAugust4,vagans,2,female,Pycnanthemum,virginianum,,,,,,,,,
2023RitterAugust4,vagans,1,female,Ratibida,pinnata,,,,,,,,,
2023RitterAugust4,vagans,1,female,Veronicastrum,virginicum,,,,,,,,,
2023RitterAugust4,vagans,1,female,Echinacea,purpurea,,,,,,,,,
2023RitterAugust4,rufocinctus,2,female,Ratibida,pinnata,,,,,,,,,
2023RitterAugust4,rufocinctus,2,female,Pycnanthemum,virginianum,,,,,,,,,
2023RitterAugust4,rufocinctus,1,female,Monarda,fistulosa,,,,,,,,,
2023RitterAugust4,rufocinctus,1,male,Pycnanthemum,virginianum,,,,,,,,,
2023RitterAugust4,citrinus,1,male,Veronicastrum,virginicum,,,,,,,,,
2023SpringLakeAugust4,impatiens,22,female,Veronicastrum,virginicum,,,,,,,,,
2023SpringLakeAugust4,impatiens,1,female,Lespedeza,capitata,,,,,,,,,
2023SpringLakeAugust4,impatiens,2,male,Veronicastrum,virginicum,,,,,,,,,
2023SpringLakeAugust4,impatiens,1,male,Lespedeza,capitata,,,,,,,,,
2023SpringLakeAugust4,bimaculatus,1,male,Veronicastrum,virginicum,,,,,,,,,
2023SpringLakeAugust4,bimaculatus,1,female,Lespedeza,capitata,,,,,,,,,
2023SpringLakeAugust4,bimaculatus,1,male,Lespedeza,capitata,,,,,,,,,
2023SpringLakeAugust4,griseocollis,1,female,Lespedeza,capitata,,,,,,,,,
2023SpringLakeAugust4,griseocollis,1,male,Liatris,pycnostachya,,,,,,,,,
2023SpringLakeAugust4,auricomus,28,female,Monarda,fistulosa,,,,,,,,,
2023SpringLakeAugust4,auricomus,1,female,Veronicastrum,virginicum,,,,,,,,,
2023SpringLakeAugust4,auricomus,1,female,Desomdium,canadense,,,,,,,,,
2023SpringLakeAugust4,auricomus,1,male,Monarda,fistulosa,,,,,,,,,
2023SpringLakeAugust4,auricomus,2,male,perching,,,,,,,,,,
2023SpringLakeAugust4,vagans,1,female,Monarda,fistulosa,,,,,,,,,
2023SpringLakeAugust4,vagans,1,female,Lespedeza,capitata,,,,,,,,,
2023SpringLakeAugust4,vagans,1,male,Monarda,fistuloa,,,,,,,,,
2023SpringLakeAugust4,vagans,2,male,Lespedeza,capitata,,,,,,,,,
2023SpringLakeAugust4,rufocinctus,1,male,Ratibida,pinnata,,,,,,,,,
2023SpringLakeAugust4,rufocinctus,2,male,perching,,,,,,,,,,
2023SpringLakeAugust4,rufocinctus,4,female,Veronicastrum,virginicum,,,,,,,,,
2023SpringLakeAugust4,rufocinctus,1,female,Lespedeza,capitata,,,,,,,,,
2023SpringLakeAugust4,rufocinctus,1,male,Veronicastrum,virginicum,,,,,,,,,
2023SpringLakeAugust4,citrinus,1,male,Veronicastrum,virginicum,,,,,,,,,
2023SpringLakeAugust4,citrinus,1,male,Pycnanthemum,sp.,,,,,,,,,
2023SpringLakeAugust4,affinis,1,female,Veronicastrum,virginicum,,,,,,,,,
2023RitterAugust17,impatiens,8,female,Echinacea,purpurea,,,,,,,,,
2023RitterAugust17,impatiens,14,female,Pycnanthemum,virginianum,,,,,,,,,
2023RitterAugust17,impatiens,5,female,Veronia,missurica,,,,,,,,,
2023RitterAugust17,impatiens,1,female,Ratibida,pinnata,,,,,,,,,
2023RitterAugust17,impatiens,2,female,Monarda,fistulsoa,,bee balm,,,,,,,
2023RitterAugust17,impatiens,3,female,Heliopsis,helianthoides,,,,,,,,,
2023RitterAugust17,impatiens,2,female,Sonchus,oleraceus,,sow thistle,,,,,,,
2023RitterAugust17,impatiens,2,female,Solidago,canadensis,,Sol can,,,,,,,
2023RitterAugust17,impatiens,1,female,Rudbeckia,hirta,,Rud hirt,,,,,,,
2023RitterAugust17,impatiens,2,male,Echinacea,purpurea,,,,,,,,,
2023RitterAugust17,impatiens,34,male,Pycnanthemum,virginianum,,,,,,,,,
2023RitterAugust17,impatiens,3,male,Veronia,missurica,,,,,,,,,
2023RitterAugust17,impatiens,2,male,perching,,,,,,,,,,
2023RitterAugust17,impatiens,5,male,Monarda,fistulosa,,,,,,,,,
2023RitterAugust17,impatiens,2,male,Heliopsis,helianthoides,,,,,,,,,
2023RitterAugust17,impatiens,3,male,Solidago,canadensis,,,,,,,,,
2023RitterAugust17,impatiens,4,male,Veronicastrum,virginicum,,,,,,,,,
2023RitterAugust17,impatiens,2,female,Oxalis,dillenii,,,,,,,,,
2023RitterAugust17,impatiens,2,female,Eutrochium,purpureum,,,,,,,,,
2023RitterAugust17,impatiens,1,female,Cirsium,sp.,,,,,,,,,
2023RitterAugust17,impatiens,1,male,Berteroa,incana,,,,,,,,,
2023RitterAugust17,impatiens,6,male,Eurtrochium,purpureum,,,,,,,,,
2023RitterAugust17,griseocollis,8,male,Echinacea,purpurea,,,,,,,,,
2023RitterAugust17,griseocollis,4,male,Monarda,fistulosa,,,,,,,,,
2023RitterAugust17,griseocollis,1,male,Veronia,missurica,,,,,,,,,
2023RitterAugust17,griseocollis,1,male,Pycnanthemum,virginianum,,,,,,,,,
2023RitterAugust17,griseocollis,1,male,Cirsium,vulgaris,,,,,,,,,
2023RitterAugust17,auricomus,2,female,Monarda,fistulosa,,,,,,,,,
