"collectioncode"	"LocationCode"	"Date"	"timestart"	"timeend"	"Number.volunteers"	"total.minutes"	"effort"	"Temp"	"WindMaxmph"	"BumbleBeeIDer"	"EstCloudCover"	"Color..if.mark.recapture."	"SitePlantInfo"	"BumbleBeeSpecies"	"Abundance"	"Sex"	"FlowerGenus"	"Flowerspecies"	"Flowerfamily"	"FlowerFieldName"	"Gyne.included.already.in.female.count."	"IDconfidence"	"PhotoFileID"	"Notes"	"Entered.in.BBW"	"PrevioslyMarked2"	"PrevioslyMarked3"
"1"	"2020ExampleAugust19"	"Como"	"7/11/2015"	"14:00"	"15:30"	6	90	540	80	5	"Elaine Evans"	"partly cloudy"	""	NA	"impatiens"	1	"male"	"Verbesina"	"alternifolia"	""	""	NA	100	NA	NA	NA	NA	NA
"2"	"2022RitterJuly7"	"Ritter"	"7/7/2022"	"10:30"	"12:00"	22	90	1980	82	10	"Elaine Evans and Sarah Foltz-Jordan"	"overcast"	"NA-holding pen"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"3"	"2022SpringLakeJuly7"	"SpringLake"	"7/7/2022"	"13:00"	"14:00"	4	90	360	85	10	"Elaine Evans and Sarah Foltz-Jordan"	"clear"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"4"	"2022RitterAugust9"	"Ritter"	"8/9/2022"	"13:30"	"14:30"	12	90	1080	80	5	"Elaine Evans and Sarah Foltz-Jordan"	"clear"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"5"	"2022SpringLakeAugust9"	"SpringLake"	"8/9/2022"	"10:30"	"12:45"	8	140	1120	80	5	"Elaine Evans and Sarah Foltz-Jordan"	"clear"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6"	"2022RitterAugust25"	"Ritter"	"8/25/2022"	"10:15"	"11:45"	35	90	3150	64	5	"Willow Lovecky and Chan Dolan"	"overcast"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"7"	"2022SpringLakeAugust25"	"SpringLake"	"8/25/2022"	"13:00"	"14:30"	11	90	990	71	5	"Willow Lovecky and Chan Dolan"	"overcast"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"8"	"2022SpringLakeSeptember12"	"SpringLake"	"9/12/2022"	"12:30"	"14:30"	1.5	120	180	72	5	"Elaine Evans"	"clear"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"9"	"2023RitterJuly7"	"Ritter"	"7/7/2023"	"10:20"	"12:00"	8	100	800	68	4	"Elaine Evans, Clara Costello, Elise Bernstein"	"hazy"	""	NA	"impatiens"	18	"female"	"Sorbaria "	"sorbifolia"	""	""	NA	NA	NA	NA	NA	NA	NA
"10"	"2023RitterJuly7"	"Ritter"	"7/7/2023"	"10:20"	"12:00"	8	100	800	68	4	"Elaine Evans, Clara Costello, Elise Bernstein"	"hazy"	""	NA	"impatiens"	5	"female"	"Cirsium"	"arvense"	""	""	NA	NA	NA	NA	NA	NA	NA
"11"	"2023RitterJuly7"	"Ritter"	"7/7/2023"	"10:20"	"12:00"	8	100	800	68	4	"Elaine Evans, Clara Costello, Elise Bernstein"	"hazy"	""	NA	"impatiens"	1	"male"	"Cirsium"	"arvense"	""	""	NA	NA	NA	NA	NA	NA	NA
"12"	"2023RitterJuly7"	"Ritter"	"7/7/2023"	"10:20"	"12:00"	8	100	800	68	4	"Elaine Evans, Clara Costello, Elise Bernstein"	"hazy"	""	NA	"bimaculatus"	8	"female"	"Sorbaria "	"sorbifolia"	""	""	NA	NA	NA	NA	NA	NA	NA
