collectioncode,year,site,Julian date,BumbleBeeSpecies,Abundance,Sex,FlowerGenus,Flowerspecies,Flowerfamily,FlowerFieldName,Gyne(included already in female count),IDconfidence,PhotoFileID,Notes,Entered in BBW,PrevioslyMarked2,PrevioslyMarked3
2022RitterAugust9,2022,Ritter,221,affinis,5,female,Monarda ,fistulosa,Lamiaceae,mon fis,,,,,x,,
2022SpringLakeJuly7,2022,Spring,188,auricomus,1,female,Baptisia,lactea,Fabaceae,white wild indigo,,,,,,,
2022SpringLakeJuly7,2022,Spring,188,auricomus,1,female,Dalea,purpurea,Fabaceae,purple prairie clover,,,,,,,
2022SpringLakeJuly7,2022,Spring,188,auricomus/pensylvanicus,2,female,Baptisia,purpurea,Fabaceae,white wild indigo,,,,"not captured, just seen while walking. No volunteers showed up at this event, all observations by UMN, Xerces, GRG",,,
2022RitterJuly7,2022,Ritter,188,bimaculatus,14,female,Sorbaria,sorbifolia,Rosaceae,false spirea,,,,,,,
2022RitterJuly7,2022,Ritter,188,impatiens,6,female,Sorbaria,sorbifolia,Rosaceae,false spirea,,,,,,,
2022RitterJuly7,2022,Ritter,188,pensylvanicus,2,female,Sorbaria,sorbifolia,Rosaceae,false spirea,,,,,,,
2023RitterJuly7,2023,Ritter,188,impatiens,18,female,Sorbaria ,sorbifolia,,,,,,,,,
2023RitterJuly7,2023,Ritter,188,impatiens,5,female,Cirsium,arvense,,,,,,,,,
2023RitterJuly7,2023,Ritter,188,impatiens,1,male,Cirsium,arvense,,,,,,,,,
2023RitterJuly7,2023,Ritter,188,bimaculatus,8,female,Sorbaria ,sorbifolia,,,,,,,,,
2023RitterJuly7,2023,Ritter,188,bimaculatus,1,female,Pycnanthemum,virginianum,,Mt mint,,,,,,,
2023RitterJuly7,2023,Ritter,188,bimaculatus,1,female,Agastache,foeniculum,,,,,,,,,
2023RitterJuly7,2023,Ritter,188,bimaculatus,5,female,Cirsium,arvense,,,,,,,,,
2023RitterJuly7,2023,Ritter,188,bimaculatus,5,male,Sorbaria ,sorbifolia,,,,,,,,,
2023RitterJuly7,2023,Ritter,188,bimaculatus,3,male,Monarda,fistulosa,Lamiaceae,Mon fis,,,,,,,
2023RitterJuly7,2023,Ritter,188,bimaculatus,2,male,Nepeta,sp. ,,catmint,,,,,,,
2023RitterJuly7,2023,Ritter,188,bimaculatus,1,male,Agastache,foeniculum,,,,,,,,,
2023RitterJuly7,2023,Ritter,188,bimaculatus,4,male,Cirsium,arvense,,,,,,,,,
2023RitterJuly7,2023,Ritter,188,griseocollis,1,female,Sorbaria ,sorbifolia,,,,,,,,,
2023RitterJuly7,2023,Ritter,188,griseocollis,1,female,Cirsium,arvense,,,,,,,,,
2023RitterJuly7,2023,Ritter,188,griseocollis,1,male,Cirsium,arvense,,,,,,,,,
2023RitterJuly7,2023,Ritter,188,auricomus,1,female,Sorbaria,sorbifolia,,,,,,,,,
2023RitterJuly7,2023,Ritter,188,vagans,1,female,Nepeta,sp. ,,catmint,,,,,,,
2023RitterJuly7,2023,Ritter,188,vagans,1,female,Echinacea,purpurea,,,,,,,,,
