collectioncode,site,year,BumbleBeeSpecies,Abundance,Sex,FlowerName,FlowerGenus,Flowerspecies,Flowerfamily,FlowerCommonName,FlowerFieldName,Gyne(included already in female count),IDconfidence,PhotoFileID,Notes,Entered in BBW,PrevioslyMarked2,PrevioslyMarked3
2022RitterAugust9,Ritter,2022,affinis,5,female,Monarda fistulosa,Monarda,fistulosa,Lamiaceae,Bee balm,mon fis,,,,,x,,
2022SpringLakeAugust25,SpringLake,2022,affinis,1,male,Solidago canadensis,Solidago,canadensis,,,,,,,,x,,
2022SpringLakeAugust9,SpringLake,2022,affinis,1,female,Pycnanthemum virginianum,Pycnanthemum,virginianum,Lamiaceae,,pyc vir,,,,,x,,
2022SpringLakeSeptember12,SpringLake,2022,affinis,3,male,Solidago speciosa,Solidago,speciosa,Asteraceae,,,,,,,x,,
2022RitterAugust9,Ritter,2022,auricomus,9,female,Monarda fistulosa,Monarda,fistulosa,Lamiaceae,,mon fis,,,,,,,
2022RitterAugust9,Ritter,2022,auricomus,1,male,Vernonia fasciculata,Veronia,fasciculata,Asteraceae,,iron weed,,,,,,,
2022RitterAugust9,Ritter,2022,auricomus,1,female,Veronicastrum virginicum,Veronicastrum,virginicum,Fabaceae,,culvers root,,,,,,,
2022SpringLakeAugust25,SpringLake,2022,auricomus,1,female,Solidago rigida,Solidago,rigida,,,,,,,,x,,
2022SpringLakeAugust25,SpringLake,2022,auricomus,3,female,Gentiana alba,Gentiana,alba,,,,,,,,x,,
2022SpringLakeAugust25,SpringLake,2022,auricomus,1,female,Liatris aspera,Liatris,aspera,,,,,,,,x,,
2022SpringLakeAugust9,SpringLake,2022,auricomus,22,female,Monarda fistulosa,Monarda,fistulosa,Lamiaceae,,mon fis,,,,,x,,
2022SpringLakeAugust9,SpringLake,2022,auricomus,1,female,Ratibida pinnata,Ratibida,pinnata,Asteraceae,,rat pin,,,,,x,,
2022SpringLakeAugust9,SpringLake,2022,auricomus,1,female,Veronicastrum virginicum,Veronicastrum,virginicum,Fabaceae,,culvers root,,,,,x,,
2022SpringLakeJuly7,SpringLake,2022,auricomus,1,female,Baptisia lactea,Baptisia,lactea,Fabaceae,,white wild indigo,,,,,,,
2022SpringLakeJuly7,SpringLake,2022,auricomus,1,female,Dalea purpurea,Dalea,purpurea,Fabaceae,,purple prairie clover,,,,,,,
2022SpringLakeJuly7,SpringLake,2022,auricomus/pensylvanicus,2,female,Baptisia purpurea,Baptisia,purpurea,Fabaceae,,white wild indigo,,,,"not captured, just seen while walking. No volunteers showed up at this event, all observations by UMN, Xerces, GRG",,,
2022RitterAugust25,Ritter,2022,bimaculatus,1,female,Eutrochium maculatum,Eutrochium,maculatum,,,,,,,,,,
2022RitterAugust9,Ritter,2022,bimaculatus,1,female,Echinacea purpurea,Echinacea,purpurea,Asteraceae,,echnacea,,,,,x,,
2022RitterAugust9,Ritter,2022,bimaculatus,1,female,Ratibida pinnata,Ratibida,pinnata,Asteraceae,,rat pin,,,,,x,,
2022RitterAugust9,Ritter,2022,bimaculatus,2,female,Monarda fistulosa,Monarda,fistulosa,Lamiaceae,,mon fis,,,,,x,,
2022RitterAugust9,Ritter,2022,bimaculatus,6,male,Monarda fistulosa,Monarda,fistulosa,Lamiaceae,,mon fis,,,,,x,,
2022RitterJuly7,Ritter,2022,bimaculatus,14,female,Sorbaria sorbifolia,Sorbaria,sorbifolia,Rosaceae,,false spirea,,,,,,,
2022SpringLakeAugust9,SpringLake,2022,bimaculatus,2,female,Monarda fistulosa,Monarda,fistulosa,Lamiaceae,,mon fis,,,,,x,,
2022SpringLakeAugust9,SpringLake,2022,bimaculatus,1,male,Pycnanthemum virginianum,Pycnanthemum,virginianum,Lamiaceae,,pyc vir,,,,,x,,
2022SpringLakeAugust9,SpringLake,2022,bimaculatus,2,female,Veronicastrum virginicum,Veronicastrum,virginicum,Fabaceae,,culvers root,,,,,x,,
2022SpringLakeAugust25,SpringLake,2022,citrinus,1,female,Liatris aspera,Liatris,aspera,,,,,,,,x,,
2022SpringLakeAugust25,SpringLake,2022,citrinus,1,male,Silphium perfoliatum,Silphium,perfoliatum,,,,,,,,x,,
2022SpringLakeAugust25,SpringLake,2022,citrinus,5,male,Solidago canadensis,Solidago,canadensis,,,,,,,,x,,
2022SpringLakeSeptember12,SpringLake,2022,citrinus,2,male,Solidago speciosa,Solidago,speciosa,Asteraceae,,,,,,,x,,
2022RitterAugust9,Ritter,2022,griseocollis,1,female,Echinacea purpurea,Echinacea,purpurea,Asteraceae,,echnacea,,,,,x,,
2022RitterAugust9,Ritter,2022,griseocollis,4,male,Echinacea purpurea,Echinacea,purpurea,Asteraceae,,echnacea,,,,,x,,
2022RitterAugust9,Ritter,2022,griseocollis,4,male,Ratibida pinnata,Ratibida,pinnata,Asteraceae,,rat pin,,,,,x,,
2022RitterAugust9,Ritter,2022,griseocollis,16,male,Monarda fistulosa,Monarda,fistulosa,Lamiaceae,,mon fis,,,,,x,,
2022RitterAugust9,Ritter,2022,griseocollis,1,male,Agastache foeniculum,Agastache,foeniculum,Lamiaceae,,anise hyss,,,,,x,,
2022RitterAugust9,Ritter,2022,griseocollis,1,male,Eutrochium maculatum,Eutrochium,maculatum,Asteraceae,,joe pye,,,,,x,,
