collectioncode,site,year,BumbleBeeSpecies,Abundance,Sex,FlowerGenus,Flowerspecies,Flowerfamily,FlowerFieldName,plantgenus_cleaned,plantspecies_cleaned,plantgenusspecies_cleaned
2022RitterAugust9,Ritter_Farm,2022,affinis,5,female,Monarda ,fistulosa,Lamiaceae,mon fis,Monarda,fistulosa,Monarda_fistulosa
2022SpringLakeAugust25,Spring_Lake_Park,2022,affinis,1,male,Solidago,canadensis,,,Solidago,canadensis,Solidago_canadensis
2022SpringLakeAugust9,Spring_Lake_Park,2022,affinis,1,female,Pycnathemum,virginianum,Lamiaceae,pyc vir,Pycnanthemum,virginianum,Pycnanthemum_virginianum
2022SpringLakeSeptember12,Spring_Lake_Park,2022,affinis,3,male,Solidago,speciosa,Asteraceae,,Solidago,speciosa,Solidago_speciosa
2022RitterAugust9,Ritter_Farm,2022,auricomus,9,female,Monarda ,fistulosa,Lamiaceae,mon fis,Monarda,fistulosa,Monarda_fistulosa
2022RitterAugust9,Ritter_Farm,2022,auricomus,1,male,Vernonia,fasciculata,Asteraceae,iron weed,Vernonia,fasciculata,Vernonia_fasciculata
2022RitterAugust9,Ritter_Farm,2022,auricomus,1,female,Veronicastrum,virginicum,Fabaceae,culvers root,Veronicastrum,virginicum,Veronicastrum_virginicum
2022SpringLakeAugust25,Spring_Lake_Park,2022,auricomus,1,female,Solidago,rigida,,,Solidago,rigida,Solidago_rigida
2022SpringLakeAugust25,Spring_Lake_Park,2022,auricomus,3,female,Gentiana,alba,,,Gentiana,alba,Gentiana_alba
2022SpringLakeAugust25,Spring_Lake_Park,2022,auricomus,1,female,Liatris,aspera,,,Liatris,aspera,Liatris_aspera
2022SpringLakeAugust9,Spring_Lake_Park,2022,auricomus,22,female,Monarda ,fistulosa,Lamiaceae,mon fis,Monarda,fistulosa,Monarda_fistulosa
2022SpringLakeAugust9,Spring_Lake_Park,2022,auricomus,1,female,Ratibida,pinnata,Asteraceae,rat pin,Ratibida,pinnata,Ratibida_pinnata
2022SpringLakeAugust9,Spring_Lake_Park,2022,auricomus,1,female,Veronicastrum,virginicum,Fabaceae,culvers root,Veronicastrum,virginicum,Veronicastrum_virginicum
2022SpringLakeJuly7,Spring_Lake_Park,2022,auricomus,1,female,Baptisia,lactea,Fabaceae,white wild indigo,Baptisia,lactea,Baptisia_lactea
2022SpringLakeJuly7,Spring_Lake_Park,2022,auricomus,1,female,Dalea,purpurea,Fabaceae,purple prairie clover,Dalea,purpurea,Dalea_purpurea
2022SpringLakeJuly7,Spring_Lake_Park,2022,auricomus/pensylvanicus,2,female,Baptisia,purpurea,Fabaceae,white wild indigo,Baptisia,purpurea,Baptisia_purpurea
2022RitterAugust25,Ritter_Farm,2022,bimaculatus,1,female,Eutrochium,maculatum,,,Eutrochium,maculatum,Eutrochium_maculatum
2022RitterAugust9,Ritter_Farm,2022,bimaculatus,1,female,Echinacea,purpurea,Asteraceae,echnacea,Echinacea,purpurea,Echinacea_purpurea
2022RitterAugust9,Ritter_Farm,2022,bimaculatus,1,female,Ratibida,pinnata,Asteraceae,rat pin,Ratibida,pinnata,Ratibida_pinnata
2022RitterAugust9,Ritter_Farm,2022,bimaculatus,2,female,Monarda ,fistulosa,Lamiaceae,mon fis,Monarda,fistulosa,Monarda_fistulosa
2022RitterAugust9,Ritter_Farm,2022,bimaculatus,6,male,Monarda ,fistulosa,Lamiaceae,mon fis,Monarda,fistulosa,Monarda_fistulosa
2022RitterJuly7,Ritter_Farm,2022,bimaculatus,14,female,Sorbaria,sorbifolia,Rosaceae,false spirea,Sorbaria,sorbifolia,Sorbaria_sorbifolia
2022SpringLakeAugust9,Spring_Lake_Park,2022,bimaculatus,2,female,Monarda ,fistulosa,Lamiaceae,mon fis,Monarda,fistulosa,Monarda_fistulosa
2022SpringLakeAugust9,Spring_Lake_Park,2022,bimaculatus,1,male,Pycnathemum,virginianum,Lamiaceae,pyc vir,Pycnanthemum,virginianum,Pycnanthemum_virginianum
2022SpringLakeAugust9,Spring_Lake_Park,2022,bimaculatus,2,female,Veronicastrum,virginicum,Fabaceae,culvers root,Veronicastrum,virginicum,Veronicastrum_virginicum
2022SpringLakeAugust25,Spring_Lake_Park,2022,citrinus,1,female,Liatris,aspera,,,Liatris,aspera,Liatris_aspera
2022SpringLakeAugust25,Spring_Lake_Park,2022,citrinus,1,male,Silphium,perfoliatum,,,Silphium,perfoliatum,Silphium_perfoliatum
2022SpringLakeAugust25,Spring_Lake_Park,2022,citrinus,5,male,Solidago,canadensis,,,Solidago,canadensis,Solidago_canadensis
2022SpringLakeSeptember12,Spring_Lake_Park,2022,citrinus,2,male,Solidago,speciosa,Asteraceae,,Solidago,speciosa,Solidago_speciosa
2022RitterAugust9,Ritter_Farm,2022,griseocollis,1,female,Echinacea,purpurea,Asteraceae,echnacea,Echinacea,purpurea,Echinacea_purpurea
2022RitterAugust9,Ritter_Farm,2022,griseocollis,4,male,Echinacea,purpurea,Asteraceae,echnacea,Echinacea,purpurea,Echinacea_purpurea
2022RitterAugust9,Ritter_Farm,2022,griseocollis,4,male,Ratibida,pinnata,Asteraceae,rat pin,Ratibida,pinnata,Ratibida_pinnata
2022RitterAugust9,Ritter_Farm,2022,griseocollis,16,male,Monarda ,fistulosa,Lamiaceae,mon fis,Monarda,fistulosa,Monarda_fistulosa
2022RitterAugust9,Ritter_Farm,2022,griseocollis,1,male,Agastache,foeniculum,Lamiaceae,anise hyss,Agastache,foeniculum,Agastache_foeniculum
2022RitterAugust9,Ritter_Farm,2022,griseocollis,1,male,Eutrochium,maculatum,Asteraceae,joe pye,Eutrochium,maculatum,Eutrochium_maculatum
2022RitterAugust9,Ritter_Farm,2022,griseocollis,1,female,Pycnathemum,virginianum,Lamiaceae,mt mint,Pycnanthemum,virginianum,Pycnanthemum_virginianum
2022SpringLakeAugust25,Spring_Lake_Park,2022,griseocollis,2,female,Lezpedeza,capitata,,,Lespedeza,capitata,Lespedeza_capitata
2022SpringLakeAugust25,Spring_Lake_Park,2022,griseocollis,1,female,Gentiana,alba,,,Gentiana,alba,Gentiana_alba
2022SpringLakeAugust25,Spring_Lake_Park,2022,griseocollis,1,male,Monarda ,fistulosa,,,Monarda,fistulosa,Monarda_fistulosa
2022SpringLakeAugust25,Spring_Lake_Park,2022,griseocollis,1,male,Pycnathemum,virginianum,,,Pycnanthemum,virginianum,Pycnanthemum_virginianum
2022SpringLakeAugust25,Spring_Lake_Park,2022,griseocollis,2,male,Solidago,canadensis,,,Solidago,canadensis,Solidago_canadensis
2022SpringLakeAugust25,Spring_Lake_Park,2022,griseocollis,1,female,Rhus,glabra,,,Rhus,glabra,Rhus_glabra
