dummy,collectioncode,LocationCode,year,Date,timestart,timeend,Number.volunteers,total.minutes,effort,Temp,WindMaxmph,BumbleBeeIDer,EstCloudCover,BumbleBeeSpecies,Abundance,Sex,FlowerGenus,Flowerspecies,Flowerfamily,FlowerFieldName
1,2022RitterJuly7,Ritter,2022,7/7/2022,10:30,12:00,22,90,1980,82,10,Elaine Evans and Sarah Foltz-Jordan,overcast,bimaculatus,14,female,Sorbaria,sorbifolia,Rosaceae,false spirea
2,2022RitterJuly7,Ritter,2022,7/7/2022,10:30,12:00,22,90,1980,82,10,Elaine Evans and Sarah Foltz-Jordan,overcast,impatiens,6,female,Sorbaria,sorbifolia,Rosaceae,false spirea
3,2022RitterJuly7,Ritter,2022,7/7/2022,10:30,12:00,22,90,1980,82,10,Elaine Evans and Sarah Foltz-Jordan,overcast,pensylvanicus,2,female,Sorbaria,sorbifolia,Rosaceae,false spirea
4,2022SpringLakeJuly7,SpringLake,2022,7/7/2022,13:00,14:00,4,90,360,85,10,Elaine Evans and Sarah Foltz-Jordan,clear,auricomus,1,female,Baptisia,lactea,Fabaceae,white wild indigo
5,2022SpringLakeJuly7,SpringLake,2022,7/7/2022,13:00,14:00,4,90,360,85,10,Elaine Evans and Sarah Foltz-Jordan,clear,auricomus,1,female,Dalea,purpurea,Fabaceae,purple prairie clover
6,2022SpringLakeJuly7,SpringLake,2022,7/7/2022,13:00,14:00,4,90,360,85,10,Elaine Evans and Sarah Foltz-Jordan,clear,auricomus/pensylvanicus,2,female,Baptisia,purpurea,Fabaceae,white wild indigo
7,2022RitterAugust9,Ritter,2022,8/9/2022,13:30,14:30,12,90,1080,80,5,Elaine Evans and Sarah Foltz-Jordan,clear,affinis,5,female,Monarda ,fistulosa,Lamiaceae,mon fis
8,2022RitterAugust9,Ritter,2022,8/9/2022,13:30,14:30,12,90,1080,80,5,Elaine Evans and Sarah Foltz-Jordan,clear,auricomus,9,female,Monarda ,fistulosa,Lamiaceae,mon fis
9,2022RitterAugust9,Ritter,2022,8/9/2022,13:30,14:30,12,90,1080,80,5,Elaine Evans and Sarah Foltz-Jordan,clear,auricomus,1,male,Vernonia,fasciculata,Asteraceae,iron weed
10,2022RitterAugust9,Ritter,2022,8/9/2022,13:30,14:30,12,90,1080,80,5,Elaine Evans and Sarah Foltz-Jordan,clear,auricomus,1,female,Veronicastrum,virginicum,Fabaceae,culvers root
11,2022RitterAugust9,Ritter,2022,8/9/2022,13:30,14:30,12,90,1080,80,5,Elaine Evans and Sarah Foltz-Jordan,clear,bimaculatus,1,female,Echinacea,purpurea,Asteraceae,echnacea
12,2022RitterAugust9,Ritter,2022,8/9/2022,13:30,14:30,12,90,1080,80,5,Elaine Evans and Sarah Foltz-Jordan,clear,bimaculatus,1,female,Ratibida,pinnata,Asteraceae,rat pin
13,2022RitterAugust9,Ritter,2022,8/9/2022,13:30,14:30,12,90,1080,80,5,Elaine Evans and Sarah Foltz-Jordan,clear,bimaculatus,2,female,Monarda ,fistulosa,Lamiaceae,mon fis
14,2022RitterAugust9,Ritter,2022,8/9/2022,13:30,14:30,12,90,1080,80,5,Elaine Evans and Sarah Foltz-Jordan,clear,bimaculatus,6,male,Monarda ,fistulosa,Lamiaceae,mon fis
15,2022RitterAugust9,Ritter,2022,8/9/2022,13:30,14:30,12,90,1080,80,5,Elaine Evans and Sarah Foltz-Jordan,clear,griseocollis,1,female,Echinacea,purpurea,Asteraceae,echnacea
16,2022RitterAugust9,Ritter,2022,8/9/2022,13:30,14:30,12,90,1080,80,5,Elaine Evans and Sarah Foltz-Jordan,clear,griseocollis,4,male,Echinacea,purpurea,Asteraceae,echnacea
17,2022RitterAugust9,Ritter,2022,8/9/2022,13:30,14:30,12,90,1080,80,5,Elaine Evans and Sarah Foltz-Jordan,clear,griseocollis,4,male,Ratibida,pinnata,Asteraceae,rat pin
18,2022RitterAugust9,Ritter,2022,8/9/2022,13:30,14:30,12,90,1080,80,5,Elaine Evans and Sarah Foltz-Jordan,clear,griseocollis,16,male,Monarda ,fistulosa,Lamiaceae,mon fis
19,2022RitterAugust9,Ritter,2022,8/9/2022,13:30,14:30,12,90,1080,80,5,Elaine Evans and Sarah Foltz-Jordan,clear,griseocollis,1,male,Agastache,foeniculum,Lamiaceae,anise hyss
20,2022RitterAugust9,Ritter,2022,8/9/2022,13:30,14:30,12,90,1080,80,5,Elaine Evans and Sarah Foltz-Jordan,clear,griseocollis,1,male,Eutrochium,maculatum,Asteraceae,joe pye
21,2022RitterAugust9,Ritter,2022,8/9/2022,13:30,14:30,12,90,1080,80,5,Elaine Evans and Sarah Foltz-Jordan,clear,griseocollis,1,female,Pycnathemum,virginianum,Lamiaceae,mt mint
22,2022RitterAugust9,Ritter,2022,8/9/2022,13:30,14:30,12,90,1080,80,5,Elaine Evans and Sarah Foltz-Jordan,clear,impatiens,22,female,Pycnathemum,virginianum,Lamiaceae,mt mint
23,2022RitterAugust9,Ritter,2022,8/9/2022,13:30,14:30,12,90,1080,80,5,Elaine Evans and Sarah Foltz-Jordan,clear,impatiens,5,female,Echinacea,purpurea,Asteraceae,echnacea
24,2022RitterAugust9,Ritter,2022,8/9/2022,13:30,14:30,12,90,1080,80,5,Elaine Evans and Sarah Foltz-Jordan,clear,impatiens,8,female,Veronicastrum,virginicum,Fabaceae,culvers root
